Order ID,Date,Region,Product,Quantity,Unit Price,Total Sale,Month
10107,24-02-2003 00:00,NYC,S10_1678,30,95.7,2871,2003-02
10121,25-02-2003 00:00,Reims,S10_1678,34,81.35,2765.9,2003-05
10134,26-02-2003 00:00,Paris,S10_1678,41,94.74,3884.34,2003-07
10145,27-02-2003 00:00,Pasadena,S10_1678,45,83.26,3746.7,2003-08
10159,28-02-2003 00:00,San Francisco,S10_1678,49,100,5205.27,2003-10
10168,01-03-2003 00:00,Burlingame,S10_1678,36,96.66,3479.76,2003-10
10180,02-03-2003 00:00,Lille,S10_1678,29,86.13,2497.77,2003-11
10188,03-03-2003 00:00,Bergen,S10_1678,48,100,5512.32,2003-11
10201,04-03-2003 00:00,San Francisco,S10_1678,22,98.57,2168.54,2003-12
10211,05-03-2003 00:00,Paris,S10_1678,41,100,4708.44,2004-01
10223,06-03-2003 00:00,Melbourne,S10_1678,37,100,3965.66,2004-02
10237,07-03-2003 00:00,NYC,S10_1678,23,100,2333.12,2004-04
10251,08-03-2003 00:00,Newark,S10_1678,28,100,3188.64,2004-05
10263,09-03-2003 00:00,Bridgewater,S10_1678,34,100,3676.76,2004-06
10275,10-03-2003 00:00,Nantes,S10_1678,45,92.83,4177.35,2004-07
10285,11-03-2003 00:00,Cambridge,S10_1678,36,100,4099.68,2004-08
10299,12-03-2003 00:00,Helsinki,S10_1678,23,100,2597.39,2004-09
10309,13-03-2003 00:00,Stavern,S10_1678,41,100,4394.38,2004-10
10318,14-03-2003 00:00,Allentown,S10_1678,46,94.74,4358.04,2004-11
10329,15-03-2003 00:00,NYC,S10_1678,42,100,4396.14,2004-11
10341,16-03-2003 00:00,Salzburg,S10_1678,41,100,7737.93,2004-11
10361,17-03-2003 00:00,Chatswood,S10_1678,20,72.55,1451,2004-12
10375,18-03-2003 00:00,Nantes,S10_1678,21,34.91,733.11,2005-02
10388,19-03-2003 00:00,New Bedford,S10_1678,42,76.36,3207.12,2005-03
10403,20-03-2003 00:00,Liverpool,S10_1678,24,100,2434.56,2005-04
10417,21-03-2003 00:00,Madrid,S10_1678,66,100,7516.08,2005-05
